country_name,country_code,obesity_value,obesity_high,obesity_low,activity_value,activity_high,activity_low,gdp_per_capita_2022,asr_world,new_cases,crude_rate,cancer_index,log_gdp,middle_east_flag,continent,region,z_cancer_index,z_obesity,z_physical_activity,z_log_gdp
Kyrgyzstan,KGZ,26.6,30.87,22.44,80.13,89.73,68.26,1739.72018344174,7.9,437,6.5,7.9,7.461479565162656,False,Asia,Asia,-0.7596420401661035,0.4391018276451511,0.5561201909375494,-0.9371494713181256
Lao People's Democratic Republic,LAO,8.01,10.75,5.72,84.16,92.3,73.48,2046.40440255621,14.1,781,10.4,14.1,7.623839582188668,False,Asia,Asia,-0.19106610908102378,-1.2727379382009498,0.8648573893798148,-0.8236599414081913
Lebanon,LBN,29.78,33.9,25.97,41.38,54.03,29.22,3654.35845534878,12.9,1005,15.0,12.9,8.203675831565153,True,Asia,Middle East,-0.30111306348458755,0.7319286407377062,-2.4125067171611545,-0.41835483876131313
Lesotho,LSO,21.0,24.64,17.6,92.02,96.85,84.19,1030.12582947757,5.8,97,4.5,5.8,6.9374362383035315,False,Africa,Africa,-0.9522242103723401,-0.07656803188890844,1.467009840932223,-1.3034553630460854
Latvia,LVA,24.27,29.69,19.27,85.51,90.27,79.93,20221.103686109,23.5,1127,61.0,23.5,9.914482074967557,False,Europe,Europe,0.6709683670802261,0.22454633251758693,0.9682805203716413,0.7774974399411018
Liberia,LBR,17.01,18.96,15.19,85.42,90.39,79.27,744.617175237387,4.5,142,2.7,4.5,6.612870227567148,False,Africa,Africa,-1.0714417443095343,-0.44398280680692565,0.9613856449721859,-1.5303267606840483
Libya,LBY,36.71,42.69,30.8,54.44,63.46,45.53,5986.63694851258,15.9,974,13.8,15.9,8.697285089118841,False,Africa,Africa,-0.025995677475678,1.3700700919111046,-1.4119836869735658,-0.07332233861083148
Lithuania,LTU,25.36,31.43,19.67,79.77,85.33,73.83,25085.784063499,21.8,1506,56.6,21.8,10.130056592698534,False,Europe,Europe,0.5150685150085108,0.32491778731975207,0.5285406893397292,0.9281838658604193
Luxembourg,LUX,18.43,22.23,14.97,86.08,90.33,80.96000000000001,123719.658915996,23.6,316,49.2,23.6,11.72577346989249,False,Europe,Europe,0.6801389466138567,-0.3132236638536464,1.0119480645681895,2.043588764056977
Madagascar,MDG,4.26,6.28,2.87,86.41,95.81,70.23,503.51453347296,5.7,942,3.2,5.7,6.221612576633713,False,Africa,Africa,-0.9613947899059706,-1.6180525762817934,1.037229274366191,-1.803815564710145
Malawi,MWI,7.74,9.41,6.22,97.3,98.88,94.75,604.269740360317,4.9,512,2.5,4.9,6.404020688243706,False,Africa,Africa,-1.034759426175013,-1.2976005921427705,1.871509197700253,-1.6763124317493971
Malaysia,MYS,22.1,24.66,19.6,60.1,69.32,50.48,11754.5678336248,19.7,7150,21.6,19.7,9.371997195825758,False,Asia,Asia,0.322486344802274,0.02472426194813908,-0.978372634074503,0.3983009170238454
Maldives,MDV,17.3,19.54,15.18,75.38,83.05,66.37,11786.0191492983,11.8,50,9.2,11.8,9.374669290146098,False,Asia,Asia,-0.401989438354521,-0.41727847479534047,0.1922239892996437,0.40016870894605155
Mali,MLI,11.37,14.53,8.87,70.18,86.58,49.23,976.914116406452,8.9,908,4.2,8.9,6.884398742760709,False,Africa,Africa,-0.6679362448298003,-0.9633360224805142,-0.20614658933553642,-1.3405285325801266
Malta,MLT,32.29,37.5,27.3,59.29,69.48,48.73,35638.8869457406,27.0,301,67.8,27.0,10.481192650618405,False,Europe,Europe,0.9919386507572873,0.9630592384931506,-1.0404265126695986,1.1736277065159004
Mauritania,MRT,22.69,26.78,19.22,61.48,81.95,38.96,1960.35240077424,6.2,183,3.7,6.2,7.580879532376531,False,Africa,Africa,-0.915541892237819,0.07905376500619175,-0.8726512112828593,-0.8536889839482996
Mauritius,MUS,19.23,22.74,15.78,70.12,78.43,60.96,10246.5017455553,16.9,370,29.0,16.9,9.234691633196247,False,Africa,Africa,0.06571011786062503,-0.23955654106306645,-0.2107431729351733,0.30232443191208513
Mexico,MEX,36.03,37.73,34.4,72.01,77.91,65.17,11405.7940473759,10.9,16082,12.2,10.9,9.341876755037235,False,America,Americas,-0.4845246541571939,1.3074530375391118,-0.06595078954661708,0.3772467515440417
Mongolia,MNG,24.11,27.02,21.29,72.53999999999999,80.8,62.97,4993.51487463495,7.6,216,6.4,7.6,8.515895324478182,False,Asia,Asia,-0.7871537787669944,0.20981290795947094,-0.025347634416493868,-0.20011364780516322
Republic of Moldova,MDA,22.97,25.54,20.57,89.23,93.09,84.31,5744.29618434435,27.5,1868,46.6,27.5,8.655962673525478,False,Europe,Europe,1.037791548425439,0.1048372579828945,1.2532687035491168,-0.10220667606247393
Montenegro,MNE,18.0,23.5,12.89,77.25,91.9,56.53,10024.5435616209,21.3,260,41.4,21.3,9.21279172112537,False,Europe,Europe,0.4692156173403592,-0.3528197423535831,0.335484178154988,0.2870164098293175
Morocco,MAR,21.78,25.09,18.73,75.49,84.74,64.83,3463.1376953125,12.3,5306,14.1,12.3,8.149930305469434,False,Africa,Africa,-0.3561365406863694,-0.004742587168092915,0.20065105923231094,-0.4559229211198414
Mozambique,MOZ,10.26,12.97,7.93,90.32,97.27,77.95,578.251663751351,3.9,651,2.0,3.9,6.360009178325483,False,Africa,Africa,-1.1264652215113162,-1.0655491553524439,1.3367733056091828,-1.7070764441136312
Oman,OMN,31.1,35.16,27.36,59.12,70.0,47.14,23223.5829405935,11.1,431,8.1,11.1,10.052923547422028,True,Asia,Middle East,-0.46618349508993334,0.8534793933421632,-1.053450166201903,0.8742679251670288
Namibia,NAM,16.97,21.31,13.09,74.62,90.05,54.92,4349.79908493314,8.7,146,5.5,8.7,8.377884935644369,False,Africa,Africa,-0.686277403897061,-0.4476661629464549,0.1340005970375795,-0.2965828059041506
Nepal,NPL,6.99,8.24,5.86,91.77,95.14,87.32,1385.91066274851,4.4,1198,4.0,4.4,7.234112720781007,False,Asia,Asia,-1.0806123238431646,-1.3666635197589392,1.44785740926707,-1.0960787247059498
The Netherlands,NLD,14.54,17.95,11.45,90.59,93.1,87.63,59123.318556487,42.8,17670,102.7,42.8,10.987380686598927,False,Europe,Europe,2.4408902170708773,-0.6714300484228414,1.3574579318075488,1.5274527633355148
Vanuatu,VUT,21.28,26.55,16.46,92.48,97.41,84.03999999999999,3370.21191956953,6.8,13,4.0,6.8,8.122730905514544,False,Oceania,Oceania,-0.8605184150360369,-0.050784538912205364,1.5022503151961049,-0.4749352812516971
New Zealand,NZL,33.62,35.61,31.68,81.32,85.77,76.39,49099.7090423358,39.0,4070,83.1,39.0,10.801608387947047,False,Oceania,Oceania,2.0924081947929256,1.0855308301324895,0.6472857656636772,1.397598066160212
Nicaragua,NIC,33.63,40.31,27.27,61.25,81.96000000000001,37.89,2322.89053964583,9.8,610,9.0,9.8,7.750567611404438,False,America,Americas,-0.5854010290271274,1.0864516691673722,-0.8902714484147997,-0.7350771442050723
Niger,NER,5.97,7.22,4.9,83.8,89.6,76.69,609.745147574878,5.9,764,2.9,5.9,6.413041079007583,False,Africa,Africa,-0.9430536308387099,-1.4605891013169288,0.8372778877819946,-1.6700071853830312
Nigeria,NGA,12.36,14.47,10.43,81.95,94.02,63.13,2899.16047470324,7.5,8114,3.7,7.5,7.972176482582176,False,Africa,Africa,-0.7963243583006248,-0.8721729580271715,0.6955498934598633,-0.5801727097604562
